Item,Weight (g),Price (INR),Energy (KCal),Protein (g),Carbs (g),Sugar (g),Fat (g),Saturated Fat (g),Mono Saturated Fat (g),Poly Saturated Fat (g),Trans Fat (g),Fibre (g),Sodium (mg),Cholestrol (mg),phosphorus (mg),calcium (mg),comments
Cadbury Diary Milk,25,20,523,8.1,60.5,57.4,29,17.6,,,0.1,2.1,152,,,,
Haldiram's Salted Peanuts,60,10,591.82,25.6,25.31,0,44.26,19,16,4,0,3.06,180,0,,,
Cadbury Diary Milk Silk Oreo,60,75,556,6.2,56.2,48.4,34.9,20,,,0.2,1.2,217,,,,
Amul Cheese,200,115,311,20,1.4,0,25,16,,,1,,,,,,10 slices
Britannia Cheese,480,340,309,17,4,0,25,16,6.4,0.5,0.3,,1426,67,312,564,
